Datetime,producers,consumers,TaskId,ServiceName,ClusterName,AvailabilityZone,Timestamp,CpuUtilized,CpuReserved,MemoryUtilized,MemoryReserved,NetworkRxBytes,NetworkRxDropped,NetworkRxErrors,NetworkRxPackets,NetworkTxBytes,NetworkTxDropped,NetworkTxErrors,NetworkTxPackets,EphemeralStorageReserved,dnsName,redis_time
2022-03-24 07:15:00,,,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648106100000,2.29237314860026,4096.0,79,8192,1728,0,0,900193,1373,0,0,355980,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,
2022-03-24 07:15:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648106100000,4.195472361246744,2048.0,575,4096,923,0,0,8232716,1414,0,0,10184663,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:14:00,,,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648106040000,2.395602823893229,4096.0,114,8192,1662,0,0,72232108,1303,0,0,158438872,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,
2022-03-24 07:14:00,,,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648106040000,2.303575998942057,4096.0,79,8192,1724,0,0,899773,1370,0,0,355534,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,
2022-03-24 07:14:00,,,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648106040000,2.013158721923828,4096.0,98,8192,1559,0,0,37836256,1305,0,0,81370876,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,
2022-03-24 07:14:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648106040000,19.644291585286457,2048.0,260,4096,408,0,0,1659840,667,0,0,1674177,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:14:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648106040000,4.272067209879558,2048.0,575,4096,919,0,0,8232110,1418,0,0,10184027,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:13:00,0,0,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105980000,2.0434403483072914,4096.0,98,8192,1560,0,0,37835858,1307,0,0,81370448,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:12:40
2022-03-24 07:13:00,0,0,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105980000,2.563532511393229,4096.0,79,8192,1704,0,0,899355,1342,0,0,355091,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:12:41
2022-03-24 07:13:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105980000,4.390833485921224,2048.0,574,4096,954,0,0,8231509,1593,0,0,10183389,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:13:00,0,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105980000,2.7217698669433594,4096.0,114,8192,1661,0,0,72231712,1302,0,0,158438447,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:12:42
2022-03-24 07:13:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105980000,19.62344563802083,2048.0,258,4096,408,0,0,1659536,666,0,0,1673790,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:12:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105920000,19.94934122721354,2048.0,255,4096,416,0,0,1659234,666,0,0,1673403,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:12:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105920000,4.248170166015625,2048.0,575,4096,927,0,0,8230887,1412,0,0,10182743,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:12:00,0,0,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105920000,2.1142705790201823,4096.0,79,8192,1719,0,0,898942,1361,0,0,354657,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:11:41
2022-03-24 07:12:00,0,0,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105920000,2.122990010579427,4096.0,98,8192,1563,0,0,37835461,1308,0,0,81370022,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:11:40
2022-03-24 07:12:00,0,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105920000,2.39786376953125,4096.0,113,8192,1664,0,0,72231317,1305,0,0,158438022,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:11:42
2022-03-24 07:11:00,0,0,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105860000,2.283146718343099,4096.0,79,8192,1742,0,0,898524,1390,0,0,354216,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:10:41
2022-03-24 07:11:00,0,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105860000,2.8719664510091145,4096.0,114,8192,1663,0,0,72230920,1302,0,0,158437597,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:10:42
2022-03-24 07:11:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105860000,19.860908203125003,2048.0,253,4096,409,0,0,1658922,665,0,0,1673016,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:11:00,0,0,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105860000,2.0284742736816406,4096.0,98,8192,1556,0,0,37835059,1307,0,0,81369592,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:10:40
2022-03-24 07:11:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105860000,4.403948160807292,2048.0,574,4096,926,0,0,8230278,1409,0,0,10182105,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:10:00,0,0,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105800000,2.3641776529947918,4096.0,79,8192,1745,0,0,898098,1388,0,0,353765,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:09:41
2022-03-24 07:10:00,0,0,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105800000,1.7457747904459637,4096.0,98,8192,1563,0,0,37834661,1311,0,0,81369162,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:09:40
2022-03-24 07:10:00,0,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105800000,2.4812035115559894,4096.0,114,8192,1663,0,0,72230524,1304,0,0,158437172,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:09:42
2022-03-24 07:10:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105800000,4.084937184651693,2048.0,575,4096,930,0,0,8229671,1410,0,0,10181471,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:10:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105800000,20.251955973307293,2048.0,251,4096,410,0,0,1658618,670,0,0,1672629,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:09:00,0,0,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105740000,2.297432556152344,4096.0,98,8192,1561,0,0,37834258,1312,0,0,81368727,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:08:40
2022-03-24 07:09:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105740000,4.386736806233724,2048.0,595,4096,930,0,0,8229060,1420,0,0,10180836,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:09:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105740000,19.639148763020835,2048.0,249,4096,448,0,0,1658313,766,0,0,1672241,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:09:00,0,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105740000,2.3700091552734377,4096.0,113,8192,1663,0,0,72230128,1303,0,0,158436748,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:08:42
2022-03-24 07:09:00,0,0,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105740000,2.580437266031901,4096.0,79,8192,1714,0,0,897676,1360,0,0,353319,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:08:41
2022-03-24 07:08:00,2,2,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105680000,3.027418924967448,4096.0,101,8192,2296,0,0,37833851,2272,0,0,81368288,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:07:40
2022-03-24 07:08:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105680000,46.70953450520833,2048.0,248,4096,3293,0,0,1657952,3346,0,0,1671799,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:08:00,6,0,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105680000,3.3604386901855468,4096.0,80,8192,8505,0,0,897259,2504,0,0,352876,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:07:41
2022-03-24 07:08:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105680000,26.27828857421875,2048.0,606,4096,7794,0,0,8228401,10645,0,0,10180132,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:08:00,4,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105680000,4.5736683654785155,4096.0,117,8192,6418,0,0,72229730,2720,0,0,158436320,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:07:42
2022-03-24 07:07:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105620000,139.53072265625,2048.0,607,4096,32950,0,0,8222227,44183,0,0,10173114,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:07:00,4,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105620000,14.749568684895833,4096.0,136,8192,34671,0,0,72227434,7034,0,0,158435046,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:06:42
2022-03-24 07:07:00,2,2,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105620000,7.212735595703125,4096.0,120,8192,3909,0,0,37832894,4888,0,0,81367295,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:06:40
2022-03-24 07:07:00,6,0,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105620000,9.276604817708334,4096.0,85,8192,33645,0,0,894639,4184,0,0,351807,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:06:41
2022-03-24 07:07:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105620000,47.14024414062499,2048.0,272,4096,15841,0,0,1654892,13995,0,0,1668603,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:06:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105560000,59.9771630859375,2048.0,269,4096,28103,0,0,1642975,25078,0,0,1656134,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:06:00,6,0,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105560000,8.86458780924479,4096.0,85,8192,33865,0,0,886610,4192,0,0,349662,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:05:41
2022-03-24 07:06:00,6,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105560000,17.610235188802083,4096.0,158,8192,39004,0,0,72217500,9342,0,0,158430876,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:05:42
2022-03-24 07:06:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105560000,305.4620963541667,2048.0,687,4096,63927,0,0,8197292,84668,0,0,10144184,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:06:00,4,2,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105560000,11.140413208007814,4096.0,145,8192,13434,0,0,37830034,7974,0,0,81364496,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:05:40
2022-03-24 07:05:00,10,6,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105500000,13.627363688151043,4096.0,171,8192,23720,0,0,37822864,11131,0,0,81359072,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:04:40
2022-03-24 07:05:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105500000,438.57526041666665,2048.0,768,4096,95674,0,0,8150129,126450,0,0,10089406,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:05:00,6,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105500000,23.39555419921875,4096.0,183,8192,56091,0,0,72204942,12763,0,0,158424584,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:04:42
2022-03-24 07:05:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105500000,64.77847819010417,2048.0,265,4096,41801,0,0,1621930,37321,0,0,1634226,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:05:00,8,2,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105500000,12.477795003255208,4096.0,85,8192,33911,0,0,878468,4820,0,0,347523,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:04:41
2022-03-24 07:04:00,12,2,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105440000,18.11677490234375,4096.0,90,8192,62827,0,0,869926,21913,0,0,344911,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:03:41
2022-03-24 07:04:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105440000,104.1970703125,2048.0,272,4096,56832,0,0,1590590,50008,0,0,1601710,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:04:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105440000,595.2189453125,2048.0,907,4096,128934,0,0,8079831,170251,0,0,10007616,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:04:00,8,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105440000,28.209191894531248,4096.0,206,8192,72879,0,0,72187024,15897,0,0,158415469,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:03:42
2022-03-24 07:04:00,10,6,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105440000,22.543986002604168,4096.0,197,8192,40939,0,0,37811410,15750,0,0,81350839,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:03:40
2022-03-24 07:03:00,12,6,3afe4ddd503e4a94adbf60ebe5466054,kl-research-live-sfu,kl-research,ap-northeast-2b,1648105380000,29.107321777343753,4096.0,219,8192,47246,0,0,37793879,17893,0,0,81339360,21.47,ip-172-19-218-74.ap-northeast-2.compute.internal,2022-03-24 07:02:40
2022-03-24 07:03:00,8,0,c7d35ff1ddda4377a3a30ddf41e91c59,kl-research-live-sfu,kl-research,ap-northeast-2c,1648105380000,34.328631998697915,4096.0,233,8192,77558,0,0,72163697,18278,0,0,158403881,21.47,ip-172-19-232-62.ap-northeast-2.compute.internal,2022-03-24 07:02:42
2022-03-24 07:03:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105380000,749.999453125,2048.0,1009,4096,158822,0,0,7985566,212073,0,0,9897584,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:03:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105380000,95.47964518229166,2048.0,274,4096,67905,0,0,1549348,60355,0,0,1558771,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
2022-03-24 07:03:00,12,2,8b7d8ded7c9d4ec8a7268886902a1c9b,kl-research-live-sfu,kl-research,ap-northeast-2a,1648105380000,19.632788899739584,4096.0,91,8192,67159,0,0,853809,22335,0,0,337550,21.47,ip-172-19-193-142.ap-northeast-2.compute.internal,2022-03-24 07:02:41
2022-03-24 07:02:00,,,3de5573ab5214e279a551628ec15c34a,kl-research-live-backend,kl-research,ap-northeast-2a,1648105320000,900.5450260416666,2048.0,1061,4096,186603,0,0,7870026,256009,0,0,9758948,21.47,ip-172-19-37-179.ap-northeast-2.compute.internal,
2022-03-24 07:02:00,,,3d3c2db734194c9386e1527246c787c1,kl-research-live-sfu-gateway,kl-research,ap-northeast-2c,1648105320000,139.23920247395836,2048.0,275,4096,79825,0,0,1499263,70984,0,0,1506830,21.47,ip-172-19-141-127.ap-northeast-2.compute.internal,
